id,timestamp,payload
0,1743557481.6819751,"{""id"": 0, ""timestamp"": 1743557481.6819751, ""data"": {""robot_id"": ""R001"", ""task_type"": ""Pick-and-Place"", ""task_duration"": ""171.5160181604326"", ""energy_consumption"": ""4.733739159464655"", ""position_coordinates"": ""(7.796910002727692, 5.96850157946487, 4.458327528535912)"", ""robot_speed"": ""0.5099724073998032"", ""sensor_id"": ""S8"", ""sensor_type"": ""Temperature"", ""sensor_reading"": ""88.03345035229626"", ""timestamp"": ""2025-01-21 10:00:00"", ""data_size"": ""642"", ""network_load"": ""70.51461235739507"", ""network_latency"": ""19.548647782429917"", ""packet_loss_rate"": ""4.162213204002109"", ""network_type"": ""6G"", ""slice_id"": ""Slice2"", ""slice_bandwidth"": ""1755"", ""command_delay"": ""7.7510676478015075"", ""feedback_delay"": ""16.084844859190753"", ""data_transfer_time"": ""20.495128632644757"", ""total_delay"": ""51.49076623284759"", ""signal_strength"": ""-61.263125794058745"", ""latency"": ""14.177793420835693"", ""resource_allocation"": ""82.09240790978063"", ""error_rate"": ""0.29214464853521815"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
1,1743557481.783233,"{""id"": 1, ""timestamp"": 1743557481.783233, ""data"": {""robot_id"": ""R002"", ""task_type"": ""Pick-and-Place"", ""task_duration"": ""123.84979779038503"", ""energy_consumption"": ""7.140703845572054"", ""position_coordinates"": ""(1.9967378215835974, 5.142344384136116, 5.924145688620425)"", ""robot_speed"": ""0.4510954539919975"", ""sensor_id"": ""S3"", ""sensor_type"": ""Motion"", ""sensor_reading"": ""75.11572371061875"", ""timestamp"": ""2025-01-21 10:01:00"", ""data_size"": ""678"", ""network_load"": ""70.33162402899666"", ""network_latency"": ""19.133026335272792"", ""packet_loss_rate"": ""2.8164410892276965"", ""network_type"": ""6G"", ""slice_id"": ""Slice1"", ""slice_bandwidth"": ""1364"", ""command_delay"": ""8.463407384332235"", ""feedback_delay"": ""14.820509320520234"", ""data_transfer_time"": ""23.665270376509163"", ""total_delay"": ""54.99917037027473"", ""signal_strength"": ""-45.00415264791507"", ""latency"": ""7.600469802616582"", ""resource_allocation"": ""85.8659091135986"", ""error_rate"": ""0.18223608778806233"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
2,1743557481.890833,"{""id"": 2, ""timestamp"": 1743557481.890833, ""data"": {""robot_id"": ""R003"", ""task_type"": ""Assembly"", ""task_duration"": ""119.52182242877426"", ""energy_consumption"": ""4.831766651472755"", ""position_coordinates"": ""(5.677003278199915, 0.31313292455558583, 8.422847745949985)"", ""robot_speed"": ""0.8947295467067423"", ""sensor_id"": ""S4"", ""sensor_type"": ""Pressure"", ""sensor_reading"": ""91.81815987569263"", ""timestamp"": ""2025-01-21 10:02:00"", ""data_size"": ""1806"", ""network_load"": ""72.21231255129798"", ""network_latency"": ""7.939742936287178"", ""packet_loss_rate"": ""0.22613644455269033"", ""network_type"": ""5G"", ""slice_id"": ""Slice4"", ""slice_bandwidth"": ""1137"", ""command_delay"": ""13.095381985836196"", ""feedback_delay"": ""21.735023313276965"", ""data_transfer_time"": ""29.30510614528276"", ""total_delay"": ""72.17068268282934"", ""signal_strength"": ""-61.7200245393237"", ""latency"": ""9.444102585561236"", ""resource_allocation"": ""82.47900408594504"", ""error_rate"": ""0.01563640674119393"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
3,1743557481.9940221,"{""id"": 3, ""timestamp"": 1743557481.9940221, ""data"": {""robot_id"": ""R004"", ""task_type"": ""Welding"", ""task_duration"": ""168.11426770153204"", ""energy_consumption"": ""4.79486272613669"", ""position_coordinates"": ""(0.05522117123602399, 8.154614284548341, 7.068573438476172)"", ""robot_speed"": ""1.2019078848450861"", ""sensor_id"": ""S1"", ""sensor_type"": ""Motion"", ""sensor_reading"": ""72.22133955202271"", ""timestamp"": ""2025-01-21 10:03:00"", ""data_size"": ""742"", ""network_load"": ""86.27692563754862"", ""network_latency"": ""18.724395133156712"", ""packet_loss_rate"": ""4.250192888948996"", ""network_type"": ""6G"", ""slice_id"": ""Slice1"", ""slice_bandwidth"": ""1871"", ""command_delay"": ""10.562273782973996"", ""feedback_delay"": ""23.376825053272146"", ""data_transfer_time"": ""23.31844713234993"", ""total_delay"": ""65.21403490713472"", ""signal_strength"": ""-61.75834621029807"", ""latency"": ""13.418651387715517"", ""resource_allocation"": ""85.74390312130684"", ""error_rate"": ""0.9717120953891037"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
4,1743557482.1015508,"{""id"": 4, ""timestamp"": 1743557482.1015508, ""data"": {""robot_id"": ""R005"", ""task_type"": ""Pick-and-Place"", ""task_duration"": ""166.50990680636565"", ""energy_consumption"": ""6.245108790277985"", ""position_coordinates"": ""(7.70967179954561, 4.937955963643907, 5.227328293819941)"", ""robot_speed"": ""0.8702951201944047"", ""sensor_id"": ""S3"", ""sensor_type"": ""Motion"", ""sensor_reading"": ""96.87290787020558"", ""timestamp"": ""2025-01-21 10:04:00"", ""data_size"": ""1776"", ""network_load"": ""77.85889952690816"", ""network_latency"": ""12.628560367470541"", ""packet_loss_rate"": ""4.537832369630465"", ""network_type"": ""Wi-Fi"", ""slice_id"": ""Slice3"", ""slice_bandwidth"": ""1548"", ""command_delay"": ""13.097616369525097"", ""feedback_delay"": ""14.061224494695388"", ""data_transfer_time"": ""28.85707141115962"", ""total_delay"": ""64.01023960782278"", ""signal_strength"": ""-49.15645200880886"", ""latency"": ""18.207017585228865"", ""resource_allocation"": ""89.3653107220069"", ""error_rate"": ""0.295633685837714"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
5,1743557482.2024195,"{""id"": 5, ""timestamp"": 1743557482.2024195, ""data"": {""robot_id"": ""R006"", ""task_type"": ""Welding"", ""task_duration"": ""182.0044826262805"", ""energy_consumption"": ""7.214688307596457"", ""position_coordinates"": ""(1.8657005888603584, 8.925589984899778, 5.393422419156507)"", ""robot_speed"": ""1.2881841706804689"", ""sensor_id"": ""S9"", ""sensor_type"": ""Motion"", ""sensor_reading"": ""97.20485324637262"", ""timestamp"": ""2025-01-21 10:05:00"", ""data_size"": ""1920"", ""network_load"": ""75.69837906354854"", ""network_latency"": ""11.406616829393844"", ""packet_loss_rate"": ""4.090073829612465"", ""network_type"": ""5G"", ""slice_id"": ""Slice3"", ""slice_bandwidth"": ""1509"", ""command_delay"": ""12.661209538663485"", ""feedback_delay"": ""18.348220062975578"", ""data_transfer_time"": ""14.442156209414605"", ""total_delay"": ""51.050912647722086"", ""signal_strength"": ""-59.87154485789116"", ""latency"": ""19.143645558687787"", ""resource_allocation"": ""84.84804398031133"", ""error_rate"": ""0.5187906217433661"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
6,1743557482.304763,"{""id"": 6, ""timestamp"": 1743557482.304763, ""data"": {""robot_id"": ""R007"", ""task_type"": ""Welding"", ""task_duration"": ""116.5370639481257"", ""energy_consumption"": ""4.259568988435927"", ""position_coordinates"": ""(2.539154139343447, 2.468760628386012, 6.963042728397884)"", ""robot_speed"": ""1.1834976489168865"", ""sensor_id"": ""S5"", ""sensor_type"": ""Temperature"", ""sensor_reading"": ""99.93221455146826"", ""timestamp"": ""2025-01-21 10:06:00"", ""data_size"": ""1210"", ""network_load"": ""85.23910834949743"", ""network_latency"": ""12.540185348432923"", ""packet_loss_rate"": ""0.25739375624994676"", ""network_type"": ""5G"", ""slice_id"": ""Slice4"", ""slice_bandwidth"": ""1184"", ""command_delay"": ""8.593428360004587"", ""feedback_delay"": ""12.897897441824462"", ""data_transfer_time"": ""19.78905520555126"", ""total_delay"": ""51.208633277933316"", ""signal_strength"": ""-62.73834185465499"", ""latency"": ""15.082033211088179"", ""resource_allocation"": ""91.42429422993077"", ""error_rate"": ""0.23763754399239967"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
7,1743557482.4054732,"{""id"": 7, ""timestamp"": 1743557482.4054732, ""data"": {""robot_id"": ""R008"", ""task_type"": ""Pick-and-Place"", ""task_duration"": ""172.43956589318543"", ""energy_consumption"": ""5.881202537784153"", ""position_coordinates"": ""(9.83423140894843, 3.9882444244455306, 8.16431873219384)"", ""robot_speed"": ""1.2781796374830063"", ""sensor_id"": ""S9"", ""sensor_type"": ""Motion"", ""sensor_reading"": ""75.59555531199562"", ""timestamp"": ""2025-01-21 10:07:00"", ""data_size"": ""1884"", ""network_load"": ""91.458970120343"", ""network_latency"": ""9.889383578028271"", ""packet_loss_rate"": ""1.1012052378277415"", ""network_type"": ""6G"", ""slice_id"": ""Slice3"", ""slice_bandwidth"": ""946"", ""command_delay"": ""10.22998980937594"", ""feedback_delay"": ""11.923531021828415"", ""data_transfer_time"": ""28.81046528979208"", ""total_delay"": ""57.95184622643405"", ""signal_strength"": ""-54.4674594841756"", ""latency"": ""17.565651588609917"", ""resource_allocation"": ""90.13535175558921"", ""error_rate"": ""0.7352161192407721"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
8,1743557482.5065496,"{""id"": 8, ""timestamp"": 1743557482.5065496, ""data"": {""robot_id"": ""R009"", ""task_type"": ""Assembly"", ""task_duration"": ""189.4571065589988"", ""energy_consumption"": ""7.509357413523924"", ""position_coordinates"": ""(2.579416277151556, 6.59984046034179, 8.172222002012159)"", ""robot_speed"": ""1.0107208927594087"", ""sensor_id"": ""S1"", ""sensor_type"": ""Pressure"", ""sensor_reading"": ""99.88761099273773"", ""timestamp"": ""2025-01-21 10:08:00"", ""data_size"": ""765"", ""network_load"": ""92.43039394883317"", ""network_latency"": ""18.506270857449955"", ""packet_loss_rate"": ""3.16550728636634"", ""network_type"": ""5G"", ""slice_id"": ""Slice1"", ""slice_bandwidth"": ""1922"", ""command_delay"": ""15.505367449591569"", ""feedback_delay"": ""26.933222844766117"", ""data_transfer_time"": ""27.126485837561848"", ""total_delay"": ""76.58761676753049"", ""signal_strength"": ""-43.366897037171206"", ""latency"": ""17.76392673151269"", ""resource_allocation"": ""94.03452491331421"", ""error_rate"": ""0.7853406511139436"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
9,1743557482.6079926,"{""id"": 9, ""timestamp"": 1743557482.6079926, ""data"": {""robot_id"": ""R010"", ""task_type"": ""Assembly"", ""task_duration"": ""61.28758722632815"", ""energy_consumption"": ""4.405886171464129"", ""position_coordinates"": ""(6.635017691080558, 0.05061583846218687, 1.6080805141749865)"", ""robot_speed"": ""1.0036071683032448"", ""sensor_id"": ""S6"", ""sensor_type"": ""Motion"", ""sensor_reading"": ""89.55883778507801"", ""timestamp"": ""2025-01-21 10:09:00"", ""data_size"": ""672"", ""network_load"": ""70.45188409038802"", ""network_latency"": ""12.40840572775152"", ""packet_loss_rate"": ""0.8941135461066441"", ""network_type"": ""Wi-Fi"", ""slice_id"": ""Slice3"", ""slice_bandwidth"": ""1200"", ""command_delay"": ""9.620911877785838"", ""feedback_delay"": ""20.850804611097985"", ""data_transfer_time"": ""20.1762815367752"", ""total_delay"": ""58.8296611165885"", ""signal_strength"": ""-62.48614544183248"", ""latency"": ""13.848062713408158"", ""resource_allocation"": ""94.68339287412513"", ""error_rate"": ""0.4867421529594551"", ""padding"": ""XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""}}"
